The t-Lounge on Chatham Street by Dilmah,6.934574,79.843478,Tea Room,Food,653,392,Commercial & Mercantile
Steuart by Citrus,6.933952,79.842845,Hotel,Travel & Transport,227,168,Hotels & Restaurants
Lighthouse Galley,6.936107,79.841089,Restaurant,Food,1908,1210,Hotels & Restaurants
Grand Oriental Hotel,6.937428,79.845137,Hotel,Travel & Transport,876,566,Hotels & Restaurants
Ruhunu Food Center,6.936076,79.846423,Asian Restaurant,Food,158,77,Hotels & Restaurants
Pizza Hut,6.934389,79.844208,Pizza Place,Food,30,26,Hotels & Restaurants
Colombo City Hotel,6.936154,79.841166,Hotel,Travel & Transport,677,429,Hotels & Restaurants
ShamRock Club. Lounge,6.934484,79.84362,Cocktail Bar,Nightlife Spot,61,42,Hotels & Restaurants
Main Gate,6.938576,79.84284,Government Building,Professional & Other Places,10,3,Professional
Colombo Harbor,6.938808,79.851105,Harbor / Marina,Outdoors & Recreation,977,391,Recreation
Jami-Ul-Alfar Mosque (Red Mosque),6.938088,79.851696,Mosque,Professional & Other Places,689,168,Residential
Nizamiya Hotel,6.938697,79.851587,Asian Restaurant,Food,91,38,Hotels & Restaurants
DSI Showroom,6.938099,79.851051,Sporting Goods Shop,Shop & Service,24,16,Recreation
sareeta Textorium,6.937367,79.850236,Bridal Shop,Shop & Service,48,34,Hotels & Restaurants
Ganesh Textiles,6.937328,79.850066,Clothing Store,Shop & Service,57,35,Commercial & Mercantile
Latheefia Stores,6.938686,79.851461,Grocery Store,Shop & Service,28,18,Commercial & Mercantile
Ram Bros,6.937742,79.84965,Clothing Store,Shop & Service,49,39,Commercial & Mercantile
Lalitha Textiles,6.938276,79.851998,Clothing Store,Shop & Service,7,7,Commercial & Mercantile
Bankshall Street,6.938492,79.851111,Road,Travel & Transport,92,35,Transportation
Hotel Bankshall,6.938214,79.850925,Asian Restaurant,Food,239,31,Hotels & Restaurants
SL Navy Rangalle,6.938457,79.8493,Military Base,Professional & Other Places,118,25,Professional
Hameedia,6.938036,79.851798,Men's Store,Shop & Service,163,100,Commercial & Mercantile
Reclamation Road,6.938588,79.850887,Bus Line,Travel & Transport,49,17,Transportation
Colorcraft Lanka ( pvt ) Ltd,6.93877,79.851953,Arts & Crafts Store,Shop & Service,35,2,Commercial & Mercantile
Nanayakara Sports,6.937627,79.850033,Sporting Goods Shop,Shop & Service,3,2,Recreation
Pulses Splitting & Processing Industry PVT LTD.,6.939299,79.851871,Office,Professional & Other Places,114,2,Professional
Harbour Bus Halt,6.938067,79.850083,Bus Station,Travel & Transport,93,27,Transportation
Pettah Red Mosque,6.938373,79.851641,Mosque,Professional & Other Places,140,70,Residential
Sponge,6.940088,79.852046,Food Court,Food,18,18,Administration
golden cafe,6.938464,79.85081,Indian Restaurant,Food,234,17,Hotels & Restaurants
ABC,6.938819,79.851517,Cosmetics Shop,Shop & Service,4,4,Hotels & Restaurants
South Asia Gateway Terminal - Colombo Port,6.939296,79.848928,Harbor / Marina,Outdoors & Recreation,15,14,Recreation
A E Gunasingha Vidyalaya,6.937958,79.84889,College Communications Building,College & University,2,2,Education
sampath bank,6.938095,79.850635,Bank,Shop & Service,23,9,Commercial & Mercantile
F.H.Associates & Co. (Pvt) Ltd.,6.938593,79.851177,Miscellaneous Shop,Shop & Service,56,4,Hotels & Restaurants
Robert Agencies (Pvt) Ltd.,6.937776,79.850637,Electronics Store,Shop & Service,5,5,Commercial & Mercantile
Maha Vidyalaya Mawatha,6.94195,79.86042,Road,Travel & Transport,190,16,Transportation
Quarry Road,6.940522,79.862291,Road,Travel & Transport,58,20,Transportation
Floor By Aluthkade!,6.938485,79.863024,Asian Restaurant,Food,71,26,Hotels & Restaurants
Pettah-Negombo High Way Terminal,6.938274,79.85896,Bus Stop,Travel & Transport,7,2,Transportation
hulftsdorp Steet,6.937764,79.861465,Road,Travel & Transport,14,2,Transportation
buy4u,6.939447,79.860628,Cosmetics Shop,Shop & Service,4,3,Hotels & Restaurants
Barber Street,6.94212,79.860989,Other Nightlife,Nightlife Spot,117,53,Recreation
Srimath Bandaranayake Mawatha Colombo-12,6.938858,79.86257,Housing Development,Residence,23,9,Residential
Commercial Bank Hulftsdrop Branch,6.937428,79.859075,Bank,Shop & Service,5,3,Commercial & Mercantile
Hakimi Distributors,6.939895,79.857893,Office,Professional & Other Places,23,2,Professional
Mr.Biriyani,6.938346,79.863035,Indian Chinese Restaurant,Food,34,17,Hotels & Restaurants
